condition,topic,content
Diabetes,symptoms,Common symptoms include increased thirst frequent urination extreme fatigue and blurred vision.
Diabetes,treatment,Treatment typically involves insulin therapy blood sugar monitoring diet changes and regular exercise.
Diabetes,prevention,Maintaining a healthy weight regular physical activity and a balanced diet can reduce risk of type 2 diabetes.
Dengue,symptoms,Common symptoms include high fever severe headache pain behind the eyes and joint pain.
Dengue,treatment,There is no specific treatment for dengue rest fluids and pain relievers like acetaminophen are recommended.
Dengue,prevention,Preventing mosquito bites and eliminating standing water where mosquitoes breed reduces dengue risk.
Covid,symptoms,Common symptoms include fever cough shortness of breath fatigue and loss of taste or smell.
Covid,treatment,Treatment includes rest fluids fever reducers and in severe cases hospitalization and oxygen support.
Covid,prevention,Vaccination wearing masks and good ventilation reduce the spread of covid.
HeartDisease,symptoms,Common symptoms include chest pain shortness of breath fatigue and irregular heartbeat.
HeartDisease,treatment,Treatment includes lifestyle changes medication and in some cases surgery like bypass or stents.
HeartDisease,prevention,Eating a heart healthy diet exercising regularly and avoiding smoking reduce heart disease risk.
RespiratoryDisease,symptoms,Common symptoms include coughing wheezing shortness of breath and chest tightness.
RespiratoryDisease,treatment,Treatment includes inhalers bronchodilators and in severe cases oxygen therapy.
RespiratoryDisease,prevention,Avoiding smoking and air pollution and getting vaccinated against flu and pneumonia helps prevention.
DiarrhoealDisease,symptoms,Common symptoms include frequent loose stools stomach cramps nausea and dehydration.
DiarrhoealDisease,treatment,Treatment focuses on rehydration with oral rehydration solutions and in severe cases medical care.
DiarrhoealDisease,prevention,Handwashing clean water and safe food handling reduce risk of diarrhoeal disease.
Malaria,symptoms,Common symptoms include fever chills headache and muscle aches occurring in cycles.
Malaria,treatment,Treatment includes antimalarial medications prescribed based on the parasite type and severity.
Malaria,prevention,Using mosquito nets insect repellent and antimalarial medication for travelers reduces malaria risk.
Tuberculosis,symptoms,Common symptoms include persistent cough chest pain coughing up blood and night sweats.
Tuberculosis,treatment,Treatment involves a long course of multiple antibiotics usually lasting six to nine months.
Tuberculosis,prevention,BCG vaccination good ventilation and early detection help prevent tuberculosis spread.
Asthma,symptoms,Common symptoms include wheezing shortness of breath chest tightness and coughing especially at night.
Asthma,treatment,Treatment includes inhaled corticosteroids bronchodilators and avoiding known triggers.
Asthma,prevention,Avoiding allergens smoke and respiratory irritants helps prevent asthma attacks.
Hypertension,symptoms,Hypertension often has no symptoms but severe cases may cause headaches shortness of breath or nosebleeds.
Hypertension,treatment,Treatment includes lifestyle changes and medications such as diuretics or ACE inhibitors.
Hypertension,prevention,Reducing salt intake regular exercise limiting alcohol and managing stress help prevent hypertension.
Anemia,symptoms,Common symptoms include fatigue weakness pale skin and shortness of breath.
Anemia,treatment,Treatment depends on cause and may include iron supplements dietary changes or in severe cases transfusion.
Anemia,prevention,Eating iron rich foods and treating underlying conditions helps prevent anemia.
